subject,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost,hitRatePre,hitRatePreMean,hitRatePresd,z(hit)_pre,failureRatePre,failureRatePreMean,failureRatePresd,z(failure)_pre,hitRatePost,hitRatePostMean,hitRatePostsd,z(hit)_post,failureRatePost,failureRatePostMean,failureRatePostsd,z(failure)_post,,d_prime_pre,d_prime_post
sm,N9,2,600,3,408,396,12,593,576,17,0.323529412,0.316474979,0.018664497,0.37795999,0.009803922,0.016858354,0.018664497,-0.377959953,0.323777403,0.324727854,0.01131159,-0.084024489,0.00955593,0.016858354,0.01131159,-0.645570114,,0.755919943,0.561545625
sm,N9,2,400,4,550,528,22,478,459,19,0.24,0.228754538,0.01783754,0.630437951,0.01,0.021245462,0.01783754,-0.630437951,0.240062762,0.238310867,0.007644151,0.229181066,0.009937238,0.021245462,0.007644151,-1.479330257,,1.260875903,1.708511323
sm,N9,2,300,4,504,472,32,0,0,0,0.234126984,0.238958255,0.005894483,-0.819625963,0.015873016,0.011041745,0.005894483,0.819625963,nan,,,#VALUE!,nan,0.011041745,,#VALUE!,,-1.639251926,#VALUE!
sm,N9,2,200,4,13,11,2,0,0,0,0.211538462,0.224669657,0.010383513,-1.264619663,0.038461538,0.025330343,0.010383513,1.264619663,nan,,,#VALUE!,nan,0.025330343,,#VALUE!,,-2.529239326,#VALUE!
sm,N9,3,800,3,397,396,1,589,576,13,0.332493703,0.315310058,0.026377836,0.651442575,0.000839631,0.018023276,0.026377836,-0.651442555,0.325976231,0.323369091,0.012796305,0.203741625,0.007357102,0.018023276,0.012796305,-0.83353545,,1.30288513,1.037277074
sm,N9,3,1000,2,0,0,0,610,576,34,nan,0.49002853,0.024312701,#VALUE!,nan,0.00997147,0.024312701,#VALUE!,0.472131148,0.49096793,0.015792427,-1.192773083,0.027868852,0.00997147,0.015792427,1.133288924,,#VALUE!,-2.326062006
sm,N9,3,600,3,410,396,14,592,576,16,0.32195122,0.316088136,0.021844726,0.268398161,0.011382114,0.017245198,0.021844726,-0.268398136,0.324324324,0.32502129,0.012458215,-0.055944271,0.009009009,0.017245198,0.012458215,-0.66110503,,0.536796296,0.60516076
sm,N9,3,400,4,562,526,36,447,432,15,0.233985765,0.232462863,0.015970833,0.095355174,0.016014235,0.017537137,0.015970833,-0.095355174,0.241610738,0.235356553,0.017633731,0.354671679,0.008389262,0.017537137,0.017633731,-0.518771348,,0.190710349,0.873443027
sm,N9,3,300,4,484,452,32,0,0,0,0.233471074,0.232670234,0.00795279,0.100699277,0.016528926,0.017329766,0.00795279,-0.100699277,nan,,,#VALUE!,nan,0.017329766,,#VALUE!,,0.201398553,#VALUE!
sm,N9,3,200,4,18,15,3,0,0,0,0.208333333,0.222136936,0.018191821,-0.758780715,0.041666667,0.027863064,0.018191821,0.758780715,nan,,,#VALUE!,nan,0.027863064,,#VALUE!,,-1.51756143,#VALUE!
sr,N10,1,800,3,576,575,1,578,576,2,0.33275463,0.319251574,0.020895117,0.646230245,0.000578704,0.01408176,0.020895117,-0.646230224,0.332179931,0.331298397,0.001562822,0.564065658,0.001153403,0.01408176,0.001562822,-8.272444508,,1.292460469,8.836510165
sr,N10,1,1000,2,189,189,0,576,576,0,0.5,0.49932467,0.001013239,0.666506244,0,0.00067533,0.001013239,-0.666506244,0.5,0.49935121,0.000924659,0.701653611,0,0.00067533,0.000924659,-0.730355475,,1.333012488,1.432009086
sr,N10,1,600,3,579,575,4,576,576,0,0.331030512,0.322724036,0.013569623,0.61213754,0.002302821,0.010609297,0.013569623,-0.612137567,0.333333333,0.331633166,0.001395258,1.21853222,0,0.010609297,0.001395258,-7.603826155,,1.224275108,8.822358375
sr,N10,1,400,4,408,393,15,384,383,1,0.240808824,0.239128891,0.010226602,0.164270915,0.009191176,0.010871109,0.010226602,-0.164270915,0.249348958,0.244313304,0.007402995,0.680218517,0.000651042,0.010871109,0.007402995,-1.380531396,,0.328541829,2.060749914
sr,N10,1,300,4,68,60,8,0,0,0,0.220588235,0.234246775,0.010382578,-1.315524879,0.029411765,0.015753225,0.010382578,1.315524879,nan,,,#VALUE!,nan,0.015753225,,#VALUE!,,-2.631049758,#VALUE!
sr,N10,1,200,4,0,0,0,0,0,0,nan,0.220175594,0.007131577,#VALUE!,nan,0.029824406,0.007131577,#VALUE!,nan,,,#VALUE!,nan,0.029824406,,#VALUE!,,#VALUE!,#VALUE!
sr,N10,2,800,3,577,576,1,580,576,4,0.332755633,0.314210314,0.027202076,0.681761164,0.000577701,0.019123019,0.027202076,-0.681761141,0.331034483,0.324009237,0.009698433,0.724369149,0.002298851,0.019123019,0.009698433,-1.734730503,,1.363522305,2.459099652
sr,N10,2,1000,2,192,192,0,577,576,1,0.5,0.48792786,0.02854483,0.422918613,0,0.01207214,0.02854483,-0.422918613,0.499133449,0.49408504,0.008466899,0.596252415,0.000866551,0.01207214,0.008466899,-1.323458453,,0.845837225,1.919710868
sr,N10,2,600,3,581,576,5,579,576,3,0.330464716,0.316474979,0.018664497,0.749537327,0.002868617,0.016858354,0.018664497,-0.749537345,0.331606218,0.324727854,0.01131159,0.608081144,0.001727116,0.016858354,0.01131159,-1.337675663,,1.499074673,1.945756806
sr,N10,2,400,4,477,460,17,406,395,11,0.241090147,0.228754538,0.01783754,0.691553273,0.008909853,0.021245462,0.01783754,-0.691553273,0.243226601,0.238310867,0.007644151,0.643071227,0.006773399,0.021245462,0.007644151,-1.893220418,,1.383106546,2.536291645
sr,N10,2,300,4,132,127,5,0,0,0,0.240530303,0.238958255,0.005894483,0.266698178,0.009469697,0.011041745,0.005894483,-0.266698178,nan,,,#VALUE!,nan,0.011041745,,#VALUE!,,0.533396357,#VALUE!
sr,N10,2,200,4,0,0,0,0,0,0,nan,0.224669657,0.010383513,#VALUE!,nan,0.025330343,0.010383513,#VALUE!,nan,,,#VALUE!,nan,0.025330343,,#VALUE!,,#VALUE!,#VALUE!
sr,N10,3,800,3,580,576,4,582,575,7,0.331034483,0.315310058,0.026377836,0.596122646,0.002298851,0.018023276,0.026377836,-0.596122626,0.32932417,0.323369091,0.012796305,0.465374887,0.004009164,0.018023276,0.012796305,-1.095168635,,1.192245272,1.560543522
sr,N10,3,1000,2,192,192,0,577,576,1,0.5,0.49002853,0.024312701,0.410134182,0,0.00997147,0.024312701,-0.410134182,0.499133449,0.49096793,0.015792427,0.517052866,0.000866551,0.00997147,0.015792427,-0.576537025,,0.820268365,1.093589891
sr,N10,3,600,3,581,576,5,579,576,3,0.330464716,0.316088136,0.021844726,0.658125923,0.002868617,0.017245198,0.021844726,-0.658125944,0.331606218,0.32502129,0.012458215,0.528561134,0.001727116,0.017245198,0.012458215,-1.245610355,,1.316251867,1.774171489
sr,N10,3,400,4,458,448,10,400,392,8,0.244541485,0.232462863,0.015970833,0.756292516,0.005458515,0.017537137,0.015970833,-0.756292516,0.245,0.235356553,0.017633731,0.546875015,0.005,0.017537137,0.017633731,-0.710974684,,1.512585032,1.257849699
sr,N10,3,300,4,172,158,14,0,0,0,0.229651163,0.232670234,0.00795279,-0.379624126,0.020348837,0.017329766,0.00795279,0.379624126,nan,,,#VALUE!,nan,0.017329766,,#VALUE!,,-0.759248253,#VALUE!
sr,N10,3,200,4,0,0,0,0,0,0,nan,0.222136936,0.018191821,#VALUE!,nan,0.027863064,0.018191821,#VALUE!,nan,,,#VALUE!,nan,0.027863064,,#VALUE!,,#VALUE!,#VALUE!
ez,N5,1,800,3,397,396,1,576,576,0,0.332493703,0.319251574,0.020895117,0.633742782,0.000839631,0.01408176,0.020895117,-0.633742761,0.333333333,0.331298397,0.001562822,1.30209082,0,0.01408176,0.001562822,-9.010470413,,1.267485542,10.31256123
ez,N5,1,1000,2,132,132,0,576,576,0,0.5,0.49932467,0.001013239,0.666506244,0,0.00067533,0.001013239,-0.666506244,0.5,0.49935121,0.000924659,0.701653611,0,0.00067533,0.000924659,-0.730355475,,1.333012488,1.432009086
ez,N5,1,600,3,447,440,7,578,576,2,0.328113348,0.322724036,0.013569623,0.397160012,0.005219985,0.010609297,0.013569623,-0.397160038,0.332179931,0.331633166,0.001395258,0.391873527,0.001153403,0.010609297,0.001395258,-6.777166676,,0.79432005,7.169040202
ez,N5,1,400,4,539,528,11,197,195,2,0.244897959,0.239128891,0.010226602,0.564123672,0.005102041,0.010871109,0.010226602,-0.564123672,0.247461929,0.244313304,0.007402995,0.42531777,0.002538071,0.010871109,0.007402995,-1.125630649,,1.128247343,1.550948419
