subject,difficulty,condition,date,sa,ratio
sr,2,binocular,2016-10-04_12-26-36-PM.csv,400,0.9315068493150684
sr,3,binocular,2016-10-04_12-26-36-PM.csv,400,0.9493670886075949
sr,1,binocular,2016-10-04_12-54-12-PM.csv,1000,1.0
sr,2,binocular,2016-10-04_12-54-12-PM.csv,1000,1.0
sr,3,binocular,2016-10-04_12-54-12-PM.csv,1000,0.9896907216494846
sr,1,binocular,2016-10-04_12-54-12-PM.csv,800,0.9896907216494846
sr,2,binocular,2016-10-04_12-54-12-PM.csv,800,0.9896907216494846
sr,3,binocular,2016-10-04_12-54-12-PM.csv,800,1.0
sr,1,binocular,2016-10-04_12-54-12-PM.csv,600,1.0
sr,2,binocular,2016-10-04_12-54-12-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-10-04_12-54-12-PM.csv,600,1.0
sr,1,binocular,2016-10-04_12-54-12-PM.csv,400,0.9830508474576272
sr,2,binocular,2016-10-04_12-54-12-PM.csv,400,0.971830985915493
sr,3,binocular,2016-10-04_12-54-12-PM.csv,400,0.9733333333333334
sr,1,binocular,2016-10-06_12-26-17-PM.csv,1000,1.0
sr,2,binocular,2016-10-06_12-26-17-PM.csv,1000,1.0
sr,3,binocular,2016-10-06_12-26-17-PM.csv,1000,1.0
sr,1,binocular,2016-10-06_12-26-17-PM.csv,800,1.0
sr,2,binocular,2016-10-06_12-26-17-PM.csv,800,1.0
sr,3,binocular,2016-10-06_12-26-17-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-10-06_12-26-17-PM.csv,600,1.0
sr,2,binocular,2016-10-06_12-26-17-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-10-06_12-26-17-PM.csv,600,0.9795918367346939
sr,1,binocular,2016-10-06_12-26-17-PM.csv,400,0.9864864864864865
sr,2,binocular,2016-10-06_12-26-17-PM.csv,400,0.961038961038961
sr,3,binocular,2016-10-06_12-26-17-PM.csv,400,0.9726027397260274
sr,1,binocular,2016-10-06_12-53-46-PM.csv,1000,1.0
sr,2,binocular,2016-10-06_12-53-46-PM.csv,1000,1.0
sr,3,binocular,2016-10-06_12-53-46-PM.csv,1000,1.0
sr,1,binocular,2016-10-06_12-53-46-PM.csv,800,1.0
sr,2,binocular,2016-10-06_12-53-46-PM.csv,800,0.96
sr,3,binocular,2016-10-06_12-53-46-PM.csv,800,0.9896907216494846
sr,1,binocular,2016-10-06_12-53-46-PM.csv,600,1.0
sr,2,binocular,2016-10-06_12-53-46-PM.csv,600,0.96
sr,3,binocular,2016-10-06_12-53-46-PM.csv,600,1.0
sr,1,binocular,2016-10-06_12-53-46-PM.csv,400,1.0
sr,2,binocular,2016-10-06_12-53-46-PM.csv,400,0.96
sr,3,binocular,2016-10-06_12-53-46-PM.csv,400,1.0
sr,1,binocular,2016-10-07_04-27-38-PM.csv,1000,1.0
sr,2,binocular,2016-10-07_04-27-38-PM.csv,1000,0.9896907216494846
